라자, 177, 86
자마, 179, 75
아라, 157, 73
차가, 186, 69
자다, 150, 89
사마, 168, 52
마카, 181, 94
바아, 182, 68
가파, 197, 72
차아, 171, 54
마라, 170, 63
다하, 198, 98
마사, 169, 76
바나, 186, 60
사아, 162, 96
타자, 153, 60
아가, 187, 60
하아, 196, 59
라파, 193, 86
카라, 154, 51
나하, 174, 97
바카, 186, 96
차파, 160, 69
타다, 186, 60
타나, 180, 51
사가, 157, 51
사파, 160, 90
카파, 195, 63
하사, 165, 94
자가, 190, 98
마타, 150, 58
라라, 179, 95
파카, 165, 93
아아, 177, 81
다자, 161, 84
다사, 173, 59
자파, 185, 81
사카, 181, 66
나자, 174, 97
차차, 177, 55
라가, 196, 94
아자, 175, 73
자하, 170, 62
자바, 190, 70
사다, 151, 74
타차, 156, 85
차사, 181, 70
아아, 163, 80
하타, 194, 59
나가, 166, 93
카카, 172, 78
라다, 187, 85
차다, 163, 76
바나, 158, 70
파마, 160, 72
아나, 162, 89
차파, 154, 79
다하, 161, 51
가자, 150, 61
타나, 172, 66
가자, 170, 52
가하, 161, 70
바다, 150, 57
다파, 195, 94
아타, 161, 87
타자, 174, 68
타카, 171, 81
아라, 152, 71
차바, 180, 63
사파, 155, 63
자바, 190, 78
카사, 170, 89
다라, 183, 97
라마, 186, 65
카라, 162, 89
다라, 154, 92
바하, 193, 97
다자, 176, 90
나마, 170, 67
타하, 150, 90
자타, 184, 61
사카, 192, 78
카아, 193, 61
차파, 170, 97
자자, 177, 67
카마, 156, 58
자파, 156, 57
바마, 187, 67
카카, 181, 57
바마, 183, 64
아라, 185, 64
파사, 194, 70
마사, 170, 79
가가, 177, 74
하차, 158, 96
다자, 181, 81
타차, 170, 91
자다, 196, 70
라차, 155, 85
하라, 162, 72
가카, 197, 73
바자, 184, 69
자타, 164, 98
차나, 160, 82
아자, 161, 86
자바, 177, 62
마바, 184, 85
나바, 195, 57
자나, 171, 83
자라, 168, 85
하타, 173, 51
파바, 192, 56
다자, 162, 55
자카, 188, 69
아자, 192, 68
가마, 153, 60
다차, 186, 51
다하, 151, 72
나마, 150, 72
마바, 164, 62
가차, 197, 58
마바, 152, 80
마라, 194, 96
파마, 199, 62
타카, 193, 63
다하, 193, 68
자다, 179, 98
다다, 185, 65
아가, 197, 90
사바, 163, 89
마가, 199, 59
차아, 164, 88
마카, 192, 57
다바, 180, 95
나다, 153, 71
라아, 184, 54
라아, 179, 81
사라, 195, 97
바사, 159, 70
자사, 169, 54
자차, 169, 62
라가, 166, 64
카아, 192, 74
라아, 181, 99
바타, 184, 98
다가, 197, 61
다타, 186, 68
타차, 183, 50
라마, 166, 78
라차, 165, 69
다라, 188, 79
하아, 163, 65
다카, 189, 83
라카, 176, 65
라라, 180, 99
파카, 179, 58
나마, 178, 55
마사, 180, 51
가타, 175, 86
아나, 187, 68
라아, 187, 60
다자, 182, 92
타하, 153, 91
사아, 153, 74
다다, 172, 97
아파, 175, 58
가사, 170, 96
마타, 199, 91
타아, 181, 63
가나, 172, 52
타타, 154, 75
마다, 180, 71
자자, 164, 62
차마, 179, 72
바타, 153, 86
하차, 175, 53
라차, 170, 95
나나, 187, 55
하라, 173, 55
다라, 188, 85
마나, 169, 63
타라, 163, 98
카마, 177, 63
사바, 159, 65
사파, 174, 63
가아, 190, 80
바아, 195, 53
마차, 191, 96
카파, 156, 76
가가, 197, 53
라다, 152, 92
다가, 182, 59
마파, 196, 93
카타, 178, 71
파파, 186, 68
나카, 163, 50
카아, 150, 97
자파, 152, 60
바다, 164, 81
라다, 168, 94
자타, 178, 72
타바, 190, 82
하하, 188, 85
바바, 155, 58
사자, 185, 54
하파, 162, 64
하아, 171, 56
다가, 190, 73
아가, 194, 57
하하, 154, 76
마라, 157, 96
사마, 172, 74
나라, 195, 56
다타, 170, 58
가사, 191, 78
다카, 169, 99
라가, 159, 61
자마, 196, 73
자바, 187, 64
나사, 180, 94
아나, 156, 97
가하, 167, 79
하차, 167, 78
아사, 157, 73
라하, 186, 89
나파, 176, 60
가바, 168, 63
라바, 194, 77
파카, 190, 81
자사, 180, 86
아다, 163, 98
사카, 151, 70
